date,y,glmnet_pred,xgb_pred,svmpoly_pred,DNN_predict
2020/08/11,11390.4,13119.45988,12079.41797,9273.669319,7518.835
2020/08/12,11557.2,12880.29243,11502.96289,9029.443278,7271.6836
2020/08/13,11770.9,12946.45057,12168.77832,9024.981311,7291.9297
2020/08/14,11750.8,13032.52503,12053.92969,9101.610508,7365.4326
2020/08/15,11845.3,12933.82669,11784.27051,9144.300209,7359.0537
2020/08/16,11899,12934.42518,11855.08789,9224.626012,7406.4473
2020/08/17,12282.6,12976.82463,11970.82324,9252.978994,7465.3037
2020/08/18,11947.6,13027.33029,12249.69531,9221.840182,7472.7266
2020/08/19,11750.2,12934.12866,12112.31738,9159.43162,7339.777
2020/08/20,11856.9,12832.06176,12164.81055,9019.208404,7191.724
2020/08/21,11529.2,12848.34304,12255.22949,9187.813355,7298.461
2020/08/22,11661.3,12673.69175,12013.73438,9097.105592,7128.384
2020/08/23,11641.6,12591.86756,11887.87305,9035.364441,7007.9097
2020/08/24,11753.5,12648.74845,11618.39551,9101.919718,7058.873
2020/08/25,11324.8,12607.27529,11598.11133,9017.90892,7007.1323
2020/08/26,11462.3,12577.55834,11932.88086,9037.163719,6937.1685
2020/08/27,11327.4,12459.04838,11758.00977,9013.4157,6888.205
2020/08/28,11527.4,12384.57388,11740.88574,8985.552289,6800.067
2020/08/29,11468.1,12400.04954,11919.45508,9114.346207,6863.617
2020/08/30,11702,12261.08604,12148.78516,9005.533344,6733.1797
2020/08/31,11644.2,12224.62419,11876.20508,8997.009707,6652.34
2020/09/01,11914.9,12260.28963,11973.8291,9007.632002,6723.177
2020/09/02,11413.3,12577.3055,12175.37793,9227.027234,6998.0205
2020/09/03,10168.8,12398.34298,11923.81152,9108.735863,6793.5913
2020/09/04,10472.5,11381.69828,11413.87305,8074.596207,5584.774
2020/09/05,10092.2,11452.95318,11360.94434,8099.936469,5652.171
2020/09/06,10296.4,11407.83975,11474.875,8102.493521,5620.7266
2020/09/07,10376.9,11416.34188,11349.95313,8112.354166,5649.139
2020/09/08,10126.6,11424.03435,11326.03418,8108.910608,5642.0596
2020/09/09,10224.6,11325.64368,11350.32715,8031.752904,5535.258
2020/09/10,10339.7,11340.43635,11275.87305,8030.974801,5512.115
2020/09/11,10390.2,11327.66684,11395.0752,8107.749656,5597.1426
2020/09/12,10441.9,11369.49234,10634.14258,8105.692136,5585.288
2020/09/13,10326,11285.081,10644.29395,8029.97789,5472.2217
2020/09/14,10675.3,11341.90338,10720.27246,8066.924183,5570.6807
2020/09/15,10785.3,11585.09462,11209.65918,8262.243936,5813.7886
2020/09/16,10949.5,11492.42936,11150.94141,8157.141636,5661.3184
2020/09/17,10941.3,11533.839,10664.87207,8283.624611,5753.9287
2020/09/18,10933,11478.50669,11015.27734,8313.211477,5772.366
2020/09/19,11081.8,11472.84968,10990.32324,8277.323269,5709.119
2020/09/20,10921.5,11567.33358,10997.46387,8381.79152,5821.469
2020/09/21,10416.8,11457.75476,11132.40527,8284.820898,5693.6895
2020/09/22,10531.5,11183.64217,10661.21777,8049.893385,5358.1865
2020/09/23,10237.3,11258.78377,11004.10645,8153.910823,5456.666
2020/09/24,10739.4,11168.4803,10514.6709,8044.021462,5347.9546
2020/09/25,10688.8,11231.3339,10684.64746,8218.59498,5504.269
2020/09/26,10727.9,11181.76553,10968.80469,8197.693405,5439.5615
2020/09/27,10776.2,11082.04097,10803.00488,8243.3446,5383.4204
2020/09/28,10693.2,11042.48841,10938.72656,8142.002447,5274.057
2020/09/29,10840.9,11120.13552,11126.42383,8195.998178,5366.8804
2020/09/30,10776.1,11177.80102,11073.3584,8296.144216,5445.253
